ISZ|SIANo|SUNo|SumOfNoPiece|PerGroup
Xyliatos|TS02|SU1645|1.00|Prehistoric
Xyliatos|TS02|SU1646|45.00|
Xyliatos|TS02|SU1646|9.00|Hellenistic-Roman
Xyliatos|TS02|SU1646|1.00|Iron Age
Xyliatos|TS02|SU1646|1.00|Medieval-Modern
Xyliatos|TS02|SU1647|79.00|
Xyliatos|TS02|SU1647|20.00|Hellenistic-Roman
Xyliatos|TS02|SU1647|4.00|Medieval-Modern
Xyliatos|TS02|SU1648|33.00|
Xyliatos|TS02|SU1648|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1648|9.00|Medieval-Modern
Xyliatos|TS02|SU1649|19.00|
Xyliatos|TS02|SU1649|3.00|Hellenistic-Roman
Xyliatos|TS02|SU1649|6.00|Medieval-Modern
Xyliatos|TS02|SU1650|20.00|
Xyliatos|TS02|SU1650|7.00|Hellenistic-Roman
Xyliatos|TS02|SU1650|3.00|Medieval-Modern
Xyliatos|TS02|SU1651|31.00|
Xyliatos|TS02|SU1651|10.00|Hellenistic-Roman
Xyliatos|TS02|SU1651|6.00|Medieval-Modern
Xyliatos|TS10|SU1652|9.00|
Xyliatos|TS10|SU1652|3.00|Hellenistic-Roman
Xyliatos|TS10|SU1652|3.00|Medieval-Modern
Xyliatos|TS10|SU1653|3.00|
Xyliatos|TS10|SU1653|1.00|Hellenistic-Roman
Xyliatos|TS10|SU1653|1.00|Medieval-Modern
Xyliatos|TS10|SU1654|1.00|
Xyliatos|TS10|SU1654|2.00|Hellenistic-Roman
Xyliatos|TS10|SU1654|7.00|Medieval-Modern
Xyliatos|TS10|SU1655|4.00|
Xyliatos|TS10|SU1655|3.00|Hellenistic-Roman
Xyliatos|TS10|SU1655|4.00|Medieval-Modern
Xyliatos|TS10|SU1656|4.00|
Xyliatos|TS10|SU1656|11.00|Medieval-Modern
Xyliatos|TS10|SU1657|4.00|
Xyliatos|TS10|SU1657|1.00|Hellenistic-Roman
Xyliatos|TS10|SU1657|5.00|Medieval-Modern
Xyliatos|TS10|SU1658|1.00|
Xyliatos|TS10|SU1658|6.00|Hellenistic-Roman
Xyliatos|TS10|SU1658|9.00|Medieval-Modern
Xyliatos|TS10|SU1659|1.00|Medieval-Modern
Xyliatos|TS10|SU1660|3.00|
Xyliatos|TS10|SU1660|2.00|Medieval-Modern
Xyliatos|TS10|SU1661|11.00|
Xyliatos|TS10|SU1661|5.00|Medieval-Modern
Xyliatos|TS10|SU1662|4.00|
Xyliatos|TS10|SU1662|1.00|Hellenistic-Roman
Xyliatos|TS10|SU1662|2.00|Medieval-Modern
Xyliatos|TS10|SU1663|7.00|
Xyliatos|TS10|SU1663|2.00|Medieval-Modern
Xyliatos|TS10|SU1664|9.00|
Xyliatos|TS10|SU1664|4.00|Medieval-Modern
Xyliatos|TS10|SU1665|7.00|
Xyliatos|TS10|SU1665|2.00|Hellenistic-Roman
Xyliatos|TS10|SU1666|10.00|
Xyliatos|TS10|SU1666|1.00|Hellenistic-Roman
Xyliatos|TS10|SU1666|6.00|Medieval-Modern
Xyliatos||SU1667|1.00|Hellenistic-Roman
Xyliatos||SU1667|4.00|Medieval-Modern
Xyliatos||SU1668|6.00|
Xyliatos||SU1668|1.00|Medieval-Modern
Xyliatos||SU1669|1.00|
Xyliatos||SU1669|4.00|Medieval-Modern
Xyliatos||SU1670|1.00|
Xyliatos||SU1671|1.00|
Xyliatos||SU1671|1.00|Medieval-Modern
Xyliatos||SU1673|1.00|
Xyliatos||SU1673|3.00|Medieval-Modern
Xyliatos|TS10|SU1676|32.00|
Xyliatos|TS10|SU1676|6.00|Hellenistic-Roman
Xyliatos|TS10|SU1677|2.00|
Xyliatos|TS10|SU1677|4.00|Hellenistic-Roman
Xyliatos|TS10|SU1677|1.00|Medieval-Modern
Xyliatos|TS10|SU1679|1.00|
Xyliatos|TS10|SU1679|2.00|Medieval-Modern
Xyliatos|TS10|SU1680|10.00|
Xyliatos|TS10|SU1680|1.00|Hellenistic-Roman
Xyliatos|TS10|SU1682|1.00|
Xyliatos|TS10|SU1683|3.00|
Xyliatos|TS10|SU1684|3.00|
Xyliatos|TS10|SU1684|8.00|Hellenistic-Roman
Xyliatos|TS10|SU1684|27.00|Medieval-Modern
Xyliatos|TS10|SU1685|1.00|
Xyliatos|TS10|SU1685|6.00|Medieval-Modern
Xyliatos|TS10|SU1686|1.00|Medieval-Modern
Xyliatos|TS10|SU1687|2.00|
Xyliatos|TS10|SU1687|2.00|Hellenistic-Roman
Xyliatos|TS10|SU1687|5.00|Medieval-Modern
Xyliatos|TS10|SU1688|14.00|
Xyliatos|TS10|SU1688|11.00|Medieval-Modern
Xyliatos|TS10|SU1689|3.00|
Xyliatos|TS10|SU1689|8.00|Medieval-Modern
Xyliatos|TS02|SU1690|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1692|1.00|
Xyliatos|TS02|SU1693|7.00|
Xyliatos|TS02|SU1693|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1696|1.00|
Xyliatos|TS02|SU1696|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1697|10.00|
Xyliatos|TS02|SU1697|6.00|Medieval-Modern
Xyliatos|TS02|SU1698|3.00|
Xyliatos|TS02|SU1699|33.00|
Xyliatos|TS02|SU1699|3.00|Hellenistic-Roman
Xyliatos|TS02|SU1699|3.00|Medieval-Modern
Xyliatos|TS02|SU1700|17.00|
Xyliatos|TS02|SU1700|6.00|Medieval-Modern
Xyliatos|TS02|SU1701|16.00|
Xyliatos|TS02|SU1701|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1701|4.00|Medieval-Modern
Xyliatos|TS02|SU1702|30.00|
Xyliatos|TS02|SU1702|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1702|3.00|Medieval-Modern
Xyliatos|TS02|SU1703|1.00|
Xyliatos|TS02|SU1703|2.00|Hellenistic-Roman
Xyliatos|TS02|SU1703|3.00|Medieval-Modern
Xyliatos|TS02|SU1704|4.00|
Xyliatos|TS02|SU1704|7.00|Medieval-Modern
Xyliatos|TS02|SU1705|16.00|
Xyliatos|TS02|SU1705|5.00|Medieval-Modern
Xyliatos|TS02|SU1706|15.00|
Xyliatos|TS02|SU1706|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1706|3.00|Medieval-Modern
Xyliatos|TS02|SU1707|32.00|
Xyliatos|TS02|SU1707|4.00|Hellenistic-Roman
Xyliatos|TS02|SU1708|7.00|
Xyliatos|TS02|SU1708|3.00|Hellenistic-Roman
Xyliatos|TS02|SU1708|1.00|Medieval-Modern
Xyliatos|TS02|SU1709|14.00|
Xyliatos|TS02|SU1709|1.00|Hellenistic-Roman
Xyliatos|TS02|SU1709|2.00|Iron Age
Xyliatos|TS02|SU1710|18.00|Medieval-Modern
Extensive||SU1908|5.00|
Extensive||SU1908|4.00|Hellenistic-Roman
Extensive||SU1908|5.00|Medieval-Modern
Extensive||SU1909|1.00|
Extensive||SU1909|4.00|Medieval-Modern
Extensive||SU1910|1.00|Medieval-Modern
Extensive||SU1911|1.00|
Extensive||SU1911|10.00|Medieval-Modern
Atsas||SU1914|2.00|
Atsas||SU1914|2.00|Medieval-Modern
Atsas||SU1915|47.00|
Atsas||SU1915|15.00|Hellenistic-Roman
Atsas||SU1915|4.00|Iron Age
Atsas||SU1915|7.00|Medieval-Modern
Atsas||SU1915|1.00|Prehistoric
Atsas||SU1916|20.00|
Atsas||SU1916|4.00|Medieval-Modern
Atsas||SU1917|36.00|
Atsas||SU1917|5.00|Hellenistic-Roman
Atsas||SU1917|1.00|Medieval-Modern
Atsas||SU1918|53.00|
Atsas||SU1918|3.00|Hellenistic-Roman
Atsas||SU1918|2.00|Iron Age
Atsas||SU1918|5.00|Medieval-Modern
Atsas||SU1919|6.00|
Atsas||SU1919|1.00|Hellenistic-Roman
Atsas||SU1919|5.00|Medieval-Modern
Atsas||SU1920|7.00|
Atsas||SU1920|1.00|Iron Age
Atsas||SU1920|5.00|Medieval-Modern
Karkotis|TS04|SU2001|21.00|Medieval-Modern
Karkotis|TS04|SU2001|1.00|Prehistoric
Karkotis|TS04|SU2002|11.00|
Karkotis|TS04|SU2002|2.00|Hellenistic-Roman
Karkotis|TS04|SU2002|43.00|Medieval-Modern
Karkotis|TS04|SU2002|1.00|Prehistoric
Karkotis|TS04|SU2003|33.00|
Karkotis|TS04|SU2003|11.00|Hellenistic-Roman
Karkotis|TS04|SU2003|34.00|Medieval-Modern
Karkotis|TS04|SU2003|2.00|Prehistoric
Karkotis|TS04|SU2004|29.00|
Karkotis|TS04|SU2004|5.00|Hellenistic-Roman
Karkotis|TS04|SU2004|47.00|Medieval-Modern
Karkotis|TS04|SU2005|5.00|
Karkotis|TS04|SU2005|4.00|Hellenistic-Roman
Karkotis|TS04|SU2005|14.00|Medieval-Modern
Karkotis|TS06|SU2006|10.00|Prehistoric
Karkotis|TS04|SU2007|35.00|
Karkotis|TS04|SU2007|8.00|Hellenistic-Roman
Karkotis|TS04|SU2007|1.00|Iron Age
Karkotis|TS04|SU2007|39.00|Medieval-Modern
Karkotis|TS04|SU2007|1.00|Prehistoric
Karkotis|TS04|SU2008|9.00|
Karkotis|TS04|SU2008|1.00|Byzantine
Karkotis|TS04|SU2008|4.00|Hellenistic-Roman
Karkotis|TS04|SU2008|1.00|Iron Age
Karkotis|TS04|SU2008|103.00|Medieval-Modern
Karkotis|TS04|SU2009|12.00|
Karkotis|TS04|SU2009|1.00|Byzantine
Karkotis|TS04|SU2009|8.00|Hellenistic-Roman
Karkotis|TS04|SU2009|1.00|Iron Age
Karkotis|TS04|SU2009|103.00|Medieval-Modern
Karkotis|TS04|SU2010|11.00|
Karkotis|TS04|SU2010|2.00|Hellenistic-Roman
Karkotis|TS04|SU2010|108.00|Medieval-Modern
Karkotis|TS04|SU2010|1.00|Prehistoric
Karkotis|TS04|SU2011|14.00|
Karkotis|TS04|SU2011|4.00|Hellenistic-Roman
Karkotis|TS04|SU2011|69.00|Medieval-Modern
Karkotis|TS04|SU2011|1.00|Prehistoric
Karkotis|TS06|SU2012|13.00|Prehistoric
Karkotis|TS04|SU2013|44.00|
Karkotis|TS04|SU2013|9.00|Hellenistic-Roman
Karkotis|TS04|SU2013|28.00|Medieval-Modern
Karkotis|TS04|SU2014|18.00|
Karkotis|TS04|SU2014|1.00|Hellenistic-Roman
Karkotis|TS04|SU2014|48.00|Medieval-Modern
Karkotis|TS04|SU2014|1.00|Prehistoric
Karkotis|TS04|SU2015|29.00|
Karkotis|TS04|SU2015|8.00|Hellenistic-Roman
Karkotis|TS04|SU2015|1.00|Iron Age
Karkotis|TS04|SU2015|16.00|Medieval-Modern
Karkotis|TS04|SU2015|3.00|Prehistoric
Karkotis|TS04|SU2016|49.00|
Karkotis|TS04|SU2016|21.00|Hellenistic-Roman
Karkotis|TS04|SU2016|101.00|Medieval-Modern
Karkotis|TS04|SU2016|1.00|Prehistoric
Karkotis|TS04|SU2017|27.00|
Karkotis|TS04|SU2017|12.00|Hellenistic-Roman
Karkotis|TS04|SU2017|1.00|Iron Age
Karkotis|TS04|SU2017|58.00|Medieval-Modern
Karkotis|TS04|SU2018|22.00|
Karkotis|TS04|SU2018|3.00|Hellenistic-Roman
Karkotis|TS04|SU2018|69.00|Medieval-Modern
Karkotis|TS04|SU2019|21.00|
Karkotis|TS04|SU2019|51.00|Medieval-Modern
Karkotis|TS04|SU2020|49.00|
Karkotis|TS04|SU2020|4.00|Hellenistic-Roman
Karkotis|TS04|SU2020|42.00|Medieval-Modern
Karkotis|TS04|SU2021|19.00|
Karkotis|TS04|SU2021|4.00|Hellenistic-Roman
Karkotis|TS04|SU2021|37.00|Medieval-Modern
Karkotis|TS04|SU2022|33.00|
Karkotis|TS04|SU2022|3.00|Hellenistic-Roman
Karkotis|TS04|SU2022|44.00|Medieval-Modern
Karkotis||SU2023|4.00|
Karkotis||SU2023|1.00|Hellenistic-Roman
Karkotis|TS07|SU2024|12.00|
Karkotis|TS07|SU2024|10.00|Hellenistic-Roman
Karkotis|TS07|SU2024|10.00|Medieval-Modern
Karkotis||SU2025|29.00|
Karkotis||SU2025|5.00|Hellenistic-Roman
Karkotis||SU2025|3.00|Medieval-Modern
Karkotis|TS04|SU2026|7.00|
Karkotis|TS04|SU2026|3.00|Medieval-Modern
Karkotis|TS04|SU2026|1.00|Prehistoric
Karkotis||SU2027|13.00|
Karkotis||SU2027|4.00|Hellenistic-Roman
Karkotis||SU2027|1.00|Iron Age
Karkotis||SU2027|17.00|Medieval-Modern
Karkotis||SU2028|21.00|
Karkotis||SU2028|2.00|Hellenistic-Roman
Karkotis||SU2028|5.00|Medieval-Modern
Karkotis||SU2029|11.00|
Karkotis||SU2029|1.00|Hellenistic-Roman
Karkotis||SU2029|7.00|Medieval-Modern
Karkotis||SU2029|18.00|Prehistoric
Karkotis||SU2030|4.00|
Karkotis||SU2030|4.00|Hellenistic-Roman
Karkotis||SU2030|8.00|Medieval-Modern
Karkotis||SU2030|15.00|Prehistoric
Karkotis||SU2031|15.00|
Karkotis||SU2031|4.00|Medieval-Modern
Karkotis||SU2031|7.00|Prehistoric
Karkotis||SU2032|1.00|
Karkotis||SU2032|1.00|Hellenistic-Roman
Karkotis||SU2032|5.00|Medieval-Modern
Karkotis||SU2033|10.00|
Karkotis||SU2033|25.00|Medieval-Modern
Karkotis||SU2034|20.00|
Karkotis||SU2034|1.00|Iron Age
Karkotis||SU2034|16.00|Medieval-Modern
Karkotis||SU2034|28.00|Prehistoric
Karkotis||SU2035|3.00|
Karkotis||SU2035|1.00|Hellenistic-Roman
Karkotis||SU2035|2.00|Iron Age
Karkotis||SU2035|1.00|Medieval-Modern
Karkotis||SU2036|3.00|
Karkotis||SU2036|1.00|Iron Age
Karkotis||SU2036|2.00|Medieval-Modern
Karkotis||SU2036|2.00|Prehistoric
Karkotis||SU2037|16.00|
Karkotis||SU2037|2.00|Iron Age
Karkotis||SU2037|6.00|Prehistoric
Karkotis||SU2038|1.00|
Karkotis||SU2041|4.00|
Karkotis||SU2041|2.00|Hellenistic-Roman
Karkotis||Su2041|1.00|Iron Age
Karkotis||SU2042|12.00|
Karkotis||SU2042|4.00|Hellenistic-Roman
Karkotis||SU2042|1.00|Iron Age
Karkotis||SU2042|8.00|Medieval-Modern
Karkotis||SU2045|1.00|
Karkotis||SU2046|2.00|
Karkotis||SU2046|3.00|Hellenistic-Roman
Karkotis||SU2046|2.00|Medieval-Modern
Karkotis||SU2047|2.00|
Karkotis||SU2047|1.00|Iron Age
Karkotis||SU2047|2.00|Medieval-Modern
Karkotis||SU2048|2.00|
Karkotis||SU2048|2.00|Hellenistic-Roman
Karkotis||SU2049|2.00|
Karkotis||SU2049|3.00|Medieval-Modern
Karkotis||SU2050|32.00|
Karkotis||SU2050|9.00|Hellenistic-Roman
Karkotis||SU2050|1.00|Medieval-Modern
Karkotis||SU2051|41.00|
Karkotis||SU2051|13.00|Hellenistic-Roman
Karkotis||SU2051|3.00|Iron Age
Karkotis||SU2051|2.00|Medieval-Modern
Karkotis||SU2052|22.00|
Karkotis||SU2052|2.00|Hellenistic-Roman
Karkotis||SU2052|3.00|Medieval-Modern
Karkotis||SU2053|16.00|
Karkotis||SU2053|4.00|Hellenistic-Roman
Karkotis||SU2053|3.00|Medieval-Modern
Karkotis||SU2054|31.00|
Karkotis||SU2054|5.00|Hellenistic-Roman
Karkotis||SU2054|5.00|Medieval-Modern
Karkotis||SU2055|37.00|
Karkotis||SU2055|1.00|Hellenistic-Roman
Karkotis||SU2055|4.00|Medieval-Modern
Karkotis||SU2055|1.00|Prehistoric
Karkotis||SU2056|30.00|
Karkotis||SU2056|14.00|Hellenistic-Roman
Karkotis||SU2056|20.00|Medieval-Modern
Karkotis||SU2057|30.00|
Karkotis||SU2057|2.00|Hellenistic-Roman
Karkotis||SU2057|3.00|Medieval-Modern
Karkotis||SU2058|22.00|
Karkotis||SU2058|3.00|Hellenistic-Roman
Karkotis||SU2058|15.00|Medieval-Modern
Karkotis||SU2058|1.00|Prehistoric
Karkotis||SU2059|3.00|Medieval-Modern
Karkotis||SU2060|2.00|
Karkotis||SU2060|9.00|Medieval-Modern
Karkotis||SU2061|24.00|
Karkotis||SU2061|1.00|Hellenistic-Roman
Karkotis||SU2061|11.00|Medieval-Modern
Karkotis||SU2062|1.00|Hellenistic-Roman
Karkotis||SU2062|6.00|Medieval-Modern
Karkotis||SU2063|9.00|
Karkotis||SU2063|1.00|Hellenistic-Roman
Karkotis||SU2063|11.00|Medieval-Modern
Karkotis||SU2064|27.00|
Karkotis||SU2064|10.00|Hellenistic-Roman
Karkotis||SU2064|18.00|Medieval-Modern
Karkotis||SU2065|27.00|
Karkotis||SU2065|3.00|Hellenistic-Roman
Karkotis||SU2065|13.00|Medieval-Modern
Karkotis||SU2066|12.00|
Karkotis||SU2066|4.00|Hellenistic-Roman
Karkotis||SU2066|5.00|Medieval-Modern
Karkotis||SU2067|17.00|
Karkotis||SU2067|6.00|Medieval-Modern
Karkotis||SU2068|19.00|
Karkotis||SU2068|4.00|Hellenistic-Roman
Karkotis||SU2068|2.00|Medieval-Modern
Karkotis||SU2069|40.00|
Karkotis||SU2069|6.00|Hellenistic-Roman
Karkotis||SU2069|2.00|Iron Age
Karkotis||SU2069|2.00|Prehistoric
Karkotis||SU2070|46.00|
Karkotis||SU2070|16.00|Hellenistic-Roman
Karkotis||SU2070|1.00|Iron Age
Karkotis||SU2070|2.00|Prehistoric
Karkotis||SU2071|15.00|
Karkotis||SU2071|1.00|Byzantine
Karkotis||SU2071|6.00|Hellenistic-Roman
Karkotis||SU2071|1.00|Iron Age
Karkotis||SU2071|15.00|Medieval-Modern
Karkotis||SU2071|1.00|Prehistoric
Karkotis||SU2072|12.00|
Karkotis||SU2072|1.00|Hellenistic-Roman
Karkotis||SU2072|1.00|Medieval-Modern
Karkotis||SU2072|2.00|Prehistoric
Karkotis||SU2073|2.00|
Karkotis||SU2073|1.00|Hellenistic-Roman
Karkotis||SU2074|1.00|
Karkotis||SU2074|2.00|Medieval-Modern
Karkotis||SU2075|6.00|
Karkotis||SU2076|4.00|
Karkotis||SU2076|1.00|Iron Age
Karkotis||SU2076|3.00|Medieval-Modern
Karkotis|TS06|SU2078|13.00|
Karkotis|TS06|SU2078|6.00|Hellenistic-Roman
Karkotis|TS06|SU2078|7.00|Medieval-Modern
Karkotis|TS06|SU2078|1.00|Prehistoric
Karkotis|TS06|SU2079|10.00|
Karkotis|TS06|SU2079|3.00|Hellenistic-Roman
Karkotis|TS06|SU2079|12.00|Medieval-Modern
Karkotis|TS06|SU2080|9.00|
Karkotis|TS06|SU2080|4.00|Medieval-Modern
Karkotis|TS06|SU2080|1.00|Prehistoric
Karkotis|TS06|SU2081|12.00|
Karkotis|TS06|SU2081|1.00|Hellenistic-Roman
Karkotis|TS06|SU2081|1.00|Iron Age
Karkotis|TS06|SU2081|5.00|Medieval-Modern
Karkotis|TS06|SU2081|1.00|Prehistoric
Karkotis|TS06|SU2082|1.00|
Karkotis|TS06|SU2082|4.00|Medieval-Modern
Karkotis|TS06|SU2083|22.00|Prehistoric
Karkotis|TS06|SU2084|5.00|Medieval-Modern
Karkotis|TS06|SU2084|13.00|Prehistoric
Karkotis|TS06|SU2085|5.00|
Karkotis|TS06|SU2085|1.00|Iron Age
Karkotis|TS06|SU2085|1.00|Medieval-Modern
Karkotis|TS06|SU2085|45.00|Prehistoric
Atsas||SU2087|1.00|
Atsas||SU2090|2.00|Medieval-Modern
Atsas||SU2091|1.00|
Atsas||SU2095|1.00|Hellenistic-Roman
Atsas||SU2096|2.00|Prehistoric
Karkotis|TS06|SU2104|1.00|
Karkotis|TS06|SU2104|38.00|Prehistoric
Atsas||SU2107|1.00|
Atsas||SU2108|1.00|
Atsas||SU2108|1.00|Prehistoric
Atsas||SU2111|1.00|
Atsas||SU2112|2.00|Hellenistic-Roman
Atsas||SU2113|2.00|
Atsas||SU2113|4.00|Hellenistic-Roman
Atsas||SU2113|3.00|Iron Age
Atsas||SU2113|14.00|Prehistoric
Atsas||SU2114|2.00|
Atsas||SU2115|5.00|
Atsas||SU2115|2.00|Hellenistic-Roman
Atsas||SU2115|1.00|Prehistoric
Atsas||SU2116|2.00|
Atsas||SU2121|1.00|Prehistoric
Karkotis|TS15|SU2124|21.00|
Karkotis|TS15|SU2124|12.00|Hellenistic-Roman
Karkotis|TS15|SU2124|1.00|Prehistoric
Karkotis|TS15|SU2125|17.00|
Karkotis|TS15|SU2125|2.00|Hellenistic-Roman
Karkotis|TS15|SU2125|1.00|Iron Age
Karkotis|TS15|SU2125|1.00|Medieval-Modern
Karkotis|TS15|SU2125|3.00|Prehistoric
Karkotis|TS15|SU2126|4.00|
Karkotis|TS15|SU2126|4.00|Hellenistic-Roman
Karkotis|TS15|SU2126|1.00|Prehistoric
Karkotis|TS15|SU2127|4.00|
Karkotis|TS15|SU2127|2.00|Hellenistic-Roman
Karkotis|TS15|SU2127|2.00|Iron Age
Karkotis|TS15|SU2127|1.00|Prehistoric
Karkotis|TS15|SU2128|33.00|
Karkotis|TS15|SU2128|27.00|Hellenistic-Roman
Karkotis|TS15|SU2128|2.00|Iron Age
Karkotis|TS15|SU2128|23.00|Medieval-Modern
Karkotis|TS15|SU2129|30.00|
Karkotis|TS15|SU2129|7.00|Hellenistic-Roman
Karkotis|TS15|SU2129|5.00|Medieval-Modern
Karkotis|TS15|SU2130|25.00|
Karkotis|TS15|SU2130|12.00|Hellenistic-Roman
Karkotis|TS15|SU2130|5.00|Medieval-Modern
Karkotis|TS15|SU2130|1.00|Prehistoric
Karkotis|TS15|SU2131|27.00|
Karkotis|TS15|SU2131|12.00|Hellenistic-Roman
Karkotis|TS15|SU2131|3.00|Medieval-Modern
Karkotis|TS15|SU2132|19.00|
Karkotis|TS15|SU2132|12.00|Hellenistic-Roman
Karkotis|TS15|SU2132|2.00|Iron Age
Karkotis|TS15|SU2132|11.00|Medieval-Modern
Karkotis|TS15|SU2132|1.00|Prehistoric
Karkotis|TS15|SU2133|24.00|
Karkotis|TS15|SU2133|8.00|Hellenistic-Roman
Karkotis|TS15|SU2133|3.00|Iron Age
Karkotis|TS15|SU2133|6.00|Medieval-Modern
Karkotis|TS15|SU2133|1.00|Prehistoric
Karkotis|TS15|SU2134|34.00|
Karkotis|TS15|SU2134|15.00|Hellenistic-Roman
Karkotis|TS15|SU2134|4.00|Iron Age
Karkotis|TS15|SU2134|7.00|Medieval-Modern
Karkotis|TS15|SU2135|13.00|
Karkotis|TS15|SU2135|6.00|Hellenistic-Roman
Karkotis|TS15|SU2135|3.00|Iron Age
Karkotis|TS15|SU2135|4.00|Medieval-Modern
Karkotis|TS15|SU2136|31.00|
Karkotis|TS15|SU2136|7.00|Hellenistic-Roman
Karkotis|TS15|SU2136|1.00|Iron Age
Karkotis|TS15|SU2136|2.00|Medieval-Modern
Karkotis|TS15|SU2137|16.00|
Karkotis|TS15|SU2137|3.00|Hellenistic-Roman
Karkotis|TS15|SU2137|1.00|Iron Age
Karkotis|TS15|SU2137|3.00|Medieval-Modern
Karkotis|TS15|SU2138|35.00|
Karkotis|TS15|SU2138|10.00|Hellenistic-Roman
Karkotis|TS15|SU2138|13.00|Iron Age
Karkotis|TS15|SU2139|37.00|
Karkotis|TS15|SU2139|12.00|Hellenistic-Roman
Karkotis|TS15|SU2139|4.00|Iron Age
Karkotis|TS15|SU2139|13.00|Medieval-Modern
Karkotis|TS15|SU2140|19.00|
Karkotis|TS15|SU2140|14.00|Hellenistic-Roman
Karkotis|TS15|SU2140|1.00|Iron Age
Karkotis|TS15|SU2140|6.00|Medieval-Modern
Karkotis|TS15|SU2141|18.00|
Karkotis|TS15|SU2141|15.00|Hellenistic-Roman
Karkotis|TS15|SU2141|1.00|Medieval-Modern
Atsas||SU2142|20.00|
Atsas||SU2142|8.00|Hellenistic-Roman
Atsas||SU2142|2.00|Iron Age
Atsas||SU2142|1.00|Prehistoric
Atsas||SU2143|2.00|
Atsas||SU2143|2.00|Hellenistic-Roman
Atsas||SU2144|4.00|
Atsas||SU2144|1.00|Hellenistic-Roman
Atsas||SU2145|1.00|
Atsas||SU2145|1.00|Hellenistic-Roman
Atsas||SU2147|5.00|
Atsas||SU2147|1.00|Hellenistic-Roman
Atsas||SU2148|3.00|Hellenistic-Roman
Atsas||SU2148|3.00|Prehistoric
Atsas||SU2149|5.00|
Atsas||SU2150|1.00|
Atsas||SU2151|1.00|
Atsas||SU2151|1.00|Hellenistic-Roman
Atsas||SU2153|2.00|Hellenistic-Roman
Atsas||SU2154|3.00|
Atsas|TS18|SU2160|7.00|
Atsas|TS18|SU2160|36.00|Hellenistic-Roman
Atsas|TS18|SU2161|4.00|
Atsas|TS18|SU2161|20.00|Hellenistic-Roman
Atsas|TS18|SU2162|11.00|
Atsas|TS18|SU2162|13.00|Hellenistic-Roman
Atsas|TS18|SU2163|2.00|
Atsas|TS18|SU2163|5.00|Hellenistic-Roman
Atsas|TS18|SU2164|4.00|
Atsas|TS18|SU2164|10.00|Hellenistic-Roman
Atsas|TS18|SU2165|1.00|
Atsas|TS18|SU2165|1.00|Medieval-Modern
Atsas||SU2168|1.00|Prehistoric
Atsas||SU2171|29.00|
Atsas||SU2171|7.00|Hellenistic-Roman
Atsas||SU2171|4.00|Iron Age
Atsas||SU2171|1.00|Medieval-Modern
Atsas||SU2171|25.00|Prehistoric
Atsas||SU2172|23.00|
Atsas||SU2172|3.00|Hellenistic-Roman
Atsas||SU2172|2.00|Iron Age
Atsas||SU2172|2.00|Medieval-Modern
Atsas||SU2172|24.00|Prehistoric
Atsas||SU2173|13.00|
Atsas||SU2173|3.00|Iron Age
Atsas||SU2173|27.00|Prehistoric
Atsas||SU2174|6.00|
Atsas||SU2174|26.00|Prehistoric
Atsas||SU2175|3.00|
Atsas||SU2175|1.00|Iron Age
Atsas||SU2175|1.00|Medieval-Modern
Atsas||SU2175|9.00|Prehistoric
Atsas||SU2176|21.00|
Atsas||SU2176|5.00|Hellenistic-Roman
Atsas||SU2176|4.00|Iron Age
Atsas||SU2176|8.00|Medieval-Modern
Atsas||SU2176|7.00|Prehistoric
Atsas||SU2177|35.00|
Atsas||SU2177|9.00|Hellenistic-Roman
Atsas||SU2177|5.00|Iron Age
Atsas||SU2177|1.00|Medieval-Modern
Atsas||SU2177|2.00|Prehistoric
Atsas||SU2178|7.00|
Atsas||SU2178|5.00|Hellenistic-Roman
Atsas||SU2178|1.00|Iron Age
Atsas||SU2178|5.00|Medieval-Modern
Atsas||SU2179|13.00|
Atsas||SU2179|1.00|Hellenistic-Roman
Atsas||SU2179|2.00|Prehistoric
Atsas||SU2180|5.00|
Atsas||SU2180|2.00|Hellenistic-Roman
Atsas||SU2180|2.00|Medieval-Modern
Atsas||SU2180|2.00|Prehistoric
Atsas||SU2181|2.00|
Atsas||SU2182|2.00|
Atsas||SU2182|1.00|Medieval-Modern
Atsas||SU2183|3.00|Medieval-Modern
Atsas||SU2185|1.00|Medieval-Modern
Atsas|TS20|SU2187|52.00|
Atsas|TS20|SU2187|51.00|Hellenistic-Roman
Karkotis|TS09|SU2188|46.00|
Karkotis|TS09|SU2188|4.00|Hellenistic-Roman
Karkotis|TS09|SU2188|4.00|Iron Age
Karkotis|TS09|SU2188|47.00|Medieval-Modern
Karkotis|TS09|SU2188|38.00|Prehistoric
Karkotis|TS09|SU2189|16.00|
Karkotis|TS09|SU2189|2.00|Hellenistic-Roman
Karkotis|TS09|SU2189|1.00|Iron Age
Karkotis|TS09|SU2189|9.00|Medieval-Modern
Karkotis|TS09|SU2189|10.00|Prehistoric
Karkotis|TS09|SU2190|59.00|
Karkotis|TS09|SU2190|15.00|Hellenistic-Roman
